Date,borough_NM,borough_CD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15/02/2020,City of London,E09000001,-5,-9,-12,-11,NA,NA
16/02/2020,City of London,E09000001,-1,-21,-23,-13,NA,NA
17/02/2020,City of London,E09000001,-3,-2,4,-1,-4,NA
18/02/2020,City of London,E09000001,-2,-2,-1,-2,-2,NA
19/02/2020,City of London,E09000001,-7,-4,5,0,-4,NA
20/02/2020,City of London,E09000001,-7,-7,-11,-3,-3,NA
21/02/2020,City of London,E09000001,-3,-2,5,-3,-4,NA
22/02/2020,City of London,E09000001,4,5,11,-3,NA,NA
23/02/2020,City of London,E09000001,8,1,-4,-13,NA,NA
24/02/2020,City of London,E09000001,-7,-12,-13,-1,2,NA
25/02/2020,City of London,E09000001,-1,1,-5,-1,3,NA
26/02/2020,City of London,E09000001,0,-3,1,-3,6,NA
27/02/2020,City of London,E09000001,0,-4,-9,-1,4,NA
28/02/2020,City of London,E09000001,-2,-6,-12,0,0,NA
29/02/2020,City of London,E09000001,11,3,0,-4,NA,NA
01/03/2020,City of London,E09000001,22,14,9,10,NA,NA
02/03/2020,City of London,E09000001,-2,0,-25,-4,4,NA
03/03/2020,City of London,E09000001,-5,-1,-11,-7,3,NA
04/03/2020,City of London,E09000001,-6,-5,-7,-5,4,NA
05/03/2020,City of London,E09000001,-14,-17,-25,-2,1,NA
06/03/2020,City of London,E09000001,-4,2,5,-5,3,NA
07/03/2020,City of London,E09000001,2,4,12,-8,NA,NA
08/03/2020,City of London,E09000001,2,-4,-4,-17,NA,NA
09/03/2020,City of London,E09000001,-10,-5,-8,-8,-6,NA
10/03/2020,City of London,E09000001,-14,-5,-17,-10,-2,NA
11/03/2020,City of London,E09000001,-17,-8,-10,-15,-5,NA
12/03/2020,City of London,E09000001,-22,-11,-23,-20,-15,NA
13/03/2020,City of London,E09000001,-29,-15,-30,-27,-23,NA
14/03/2020,City of London,E09000001,-26,-15,-27,-28,NA,NA
15/03/2020,City of London,E09000001,-32,-24,-35,-38,NA,NA
16/03/2020,City of London,E09000001,-40,-20,-42,-40,-38,NA
17/03/2020,City of London,E09000001,-62,-40,-60,-56,-54,NA
18/03/2020,City of London,E09000001,-73,-46,-65,-66,-62,NA
19/03/2020,City of London,E09000001,-78,-47,-74,-70,-63,NA
20/03/2020,City of London,E09000001,-82,-54,-77,-73,-64,NA
21/03/2020,City of London,E09000001,-86,-53,-86,-78,NA,NA
22/03/2020,City of London,E09000001,-85,-67,-86,-81,NA,NA
23/03/2020,City of London,E09000001,-87,-70,-82,-79,-76,NA
24/03/2020,City of London,E09000001,-94,-79,-88,-87,-80,NA
25/03/2020,City of London,E09000001,-95,-82,-88,-90,-85,NA
26/03/2020,City of London,E09000001,-96,-83,-91,-92,-85,NA
27/03/2020,City of London,E09000001,-96,-83,-91,-92,-84,NA
28/03/2020,City of London,E09000001,-95,-74,-93,-92,NA,NA
29/03/2020,City of London,E09000001,-95,-80,-93,-91,NA,NA
30/03/2020,City of London,E09000001,-95,-84,-90,-93,-82,NA
31/03/2020,City of London,E09000001,-96,-84,-92,-93,-85,NA
01/04/2020,City of London,E09000001,-96,-85,-92,-93,-85,NA
02/04/2020,City of London,E09000001,-97,-85,-93,-93,-86,NA
03/04/2020,City of London,E09000001,-97,-84,-92,-93,-83,NA
04/04/2020,City of London,E09000001,-95,-74,-91,-92,NA,NA
05/04/2020,City of London,E09000001,-93,-75,-87,-90,NA,NA
06/04/2020,City of London,E09000001,-96,-85,-92,-93,-80,NA
07/04/2020,City of London,E09000001,-97,-84,-90,-93,-87,NA
08/04/2020,City of London,E09000001,-97,-84,-90,-93,-87,NA
09/04/2020,City of London,E09000001,-97,-82,-90,-93,-84,NA
10/04/2020,City of London,E09000001,-98,-88,-93,-96,-89,NA
11/04/2020,City of London,E09000001,-95,-72,-89,-92,NA,NA
12/04/2020,City of London,E09000001,-97,-82,-88,-91,NA,NA
13/04/2020,City of London,E09000001,-99,-91,-96,-97,NA,NA
14/04/2020,City of London,E09000001,-97,-83,-91,-93,-83,NA
15/04/2020,City of London,E09000001,-97,-83,-91,-93,-84,NA
16/04/2020,City of London,E09000001,-97,-84,-93,-93,-82,NA
17/04/2020,City of London,E09000001,-97,-83,-93,-93,-82,NA
18/04/2020,City of London,E09000001,-96,-74,-93,-92,NA,NA
19/04/2020,City of London,E09000001,-95,-72,-87,-90,NA,NA
20/04/2020,City of London,E09000001,-96,-84,-91,-92,-81,NA
21/04/2020,City of London,E09000001,-97,-84,-90,-93,-83,NA
22/04/2020,City of London,E09000001,-97,-83,-90,-93,-84,NA
23/04/2020,City of London,E09000001,-97,-84,-91,-93,-84,NA
24/04/2020,City of London,E09000001,-97,-82,-90,-92,-80,NA
25/04/2020,City of London,E09000001,-95,-71,-88,-90,NA,NA
26/04/2020,City of London,E09000001,-95,-72,-82,-88,NA,NA
27/04/2020,City of London,E09000001,-96,-83,-91,-92,-80,NA
28/04/2020,City of London,E09000001,-97,-87,-93,-92,-84,NA
29/04/2020,City of London,E09000001,-97,-83,-91,-92,-84,NA
30/04/2020,City of London,E09000001,-98,-85,-92,-92,-84,NA
01/05/2020,City of London,E09000001,-97,-82,-89,-91,-82,NA
02/05/2020,City of London,E09000001,-95,-71,-84,-89,NA,NA
03/05/2020,City of London,E09000001,-97,-75,-87,-89,NA,NA
04/05/2020,City of London,E09000001,-97,-83,-88,-91,-80,NA
05/05/2020,City of London,E09000001,-97,-84,-88,-91,-84,NA
06/05/2020,City of London,E09000001,-97,-82,-87,-91,-81,NA
07/05/2020,City of London,E09000001,-97,-82,-87,-91,-80,NA
08/05/2020,City of London,E09000001,-98,-87,-84,-94,-83,NA
09/05/2020,City of London,E09000001,-95,-71,-73,-88,NA,NA
10/05/2020,City of London,E09000001,-97,-78,-85,-88,NA,NA
11/05/2020,City of London,E09000001,-97,-84,-89,-90,-82,NA
12/05/2020,City of London,E09000001,-97,-83,-87,-91,-81,NA
13/05/2020,City of London,E09000001,-97,-83,-89,-91,-79,NA
14/05/2020,City of London,E09000001,-97,-83,-87,-91,-82,NA
15/05/2020,City of London,E09000001,-97,-80,-82,-90,-80,NA
16/05/2020,City of London,E09000001,-95,-71,-76,-87,NA,NA
17/05/2020,City of London,E09000001,-93,-71,-65,-84,NA,NA
18/05/2020,City of London,E09000001,-96,-82,-83,-89,-79,NA
19/05/2020,City of London,E09000001,-97,-80,-82,-89,-82,NA
20/05/2020,City of London,E09000001,-97,-81,-78,-89,-77,NA
21/05/2020,City of London,E09000001,-97,-80,-82,-89,-80,NA
22/05/2020,City of London,E09000001,-97,-79,-81,-88,-77,NA
23/05/2020,City of London,E09000001,-95,-70,-78,-82,NA,NA
24/05/2020,City of London,E09000001,-94,-71,-66,-79,NA,NA
25/05/2020,City of London,E09000001,-97,-86,-72,-91,-85,NA
26/05/2020,City of London,E09000001,-96,-80,-80,-88,-80,NA
27/05/2020,City of London,E09000001,-96,-81,-79,-88,-77,NA
28/05/2020,City of London,E09000001,-96,-79,-81,-88,-78,NA
29/05/2020,City of London,E09000001,-96,-77,-77,-87,-76,NA
30/05/2020,City of London,E09000001,-94,-66,-63,-81,NA,NA
31/05/2020,City of London,E09000001,-92,-70,-60,-80,NA,NA
01/06/2020,City of London,E09000001,-95,-80,-78,-87,-79,NA
02/06/2020,City of London,E09000001,-96,-79,-78,-87,-78,NA
03/06/2020,City of London,E09000001,-96,-81,-84,-87,-81,NA
04/06/2020,City of London,E09000001,-97,-80,-85,-88,-76,NA
05/06/2020,City of London,E09000001,-96,-78,-78,-86,-77,NA
06/06/2020,City of London,E09000001,-95,-72,-82,-82,NA,NA
07/06/2020,City of London,E09000001,-93,-70,-68,-80,NA,NA
08/06/2020,City of London,E09000001,-95,-79,-78,-86,-75,NA
09/06/2020,City of London,E09000001,-95,-78,-76,-86,-75,NA
10/06/2020,City of London,E09000001,-96,-80,-83,-87,-77,NA
11/06/2020,City of London,E09000001,-96,-79,-81,-87,-76,NA
12/06/2020,City of London,E09000001,-96,-78,-80,-85,-72,NA
13/06/2020,City of London,E09000001,-93,-61,-58,-74,NA,NA
14/06/2020,City of London,E09000001,-92,-68,-56,-78,NA,NA
15/06/2020,City of London,E09000001,-93,-76,-76,-84,-74,NA
16/06/2020,City of London,E09000001,-94,-75,-76,-85,-75,NA
17/06/2020,City of London,E09000001,-94,-77,-79,-85,-75,NA
18/06/2020,City of London,E09000001,-95,-76,-82,-86,-77,NA
19/06/2020,City of London,E09000001,-94,-71,-78,-83,-71,NA
20/06/2020,City of London,E09000001,-90,-50,-63,-73,NA,NA
21/06/2020,City of London,E09000001,-90,-57,-66,-76,NA,NA
22/06/2020,City of London,E09000001,-93,-74,-70,-83,-76,NA
23/06/2020,City of London,E09000001,-94,-74,-70,-84,-76,NA
24/06/2020,City of London,E09000001,-94,-72,-70,-83,-73,NA
25/06/2020,City of London,E09000001,-94,-73,-73,-82,-75,NA
26/06/2020,City of London,E09000001,-94,-71,-72,-81,-74,NA
27/06/2020,City of London,E09000001,-92,-57,-77,-76,NA,NA
28/06/2020,City of London,E09000001,-90,-52,-64,-73,NA,NA
29/06/2020,City of London,E09000001,-93,-74,-74,-82,-74,NA
30/06/2020,City of London,E09000001,-93,-76,-78,-83,-74,NA
01/07/2020,City of London,E09000001,-92,-75,-74,-82,-71,NA
02/07/2020,City of London,E09000001,-93,-75,-78,-83,-74,NA
03/07/2020,City of London,E09000001,-92,-71,-69,-80,-72,NA
04/07/2020,City of London,E09000001,-85,-54,-69,-68,NA,NA
05/07/2020,City of London,E09000001,-84,-52,-56,-66,NA,NA
06/07/2020,City of London,E09000001,-89,-74,-70,-80,-72,NA
07/07/2020,City of London,E09000001,-90,-75,-72,-81,-74,NA
08/07/2020,City of London,E09000001,-91,-75,-75,-81,-71,NA
09/07/2020,City of London,E09000001,-91,-74,-74,-80,-71,NA
10/07/2020,City of London,E09000001,-90,-70,-66,-77,-69,NA
11/07/2020,City of London,E09000001,-84,-51,-49,-64,NA,NA
12/07/2020,City of London,E09000001,-83,-49,-43,-63,NA,NA
13/07/2020,City of London,E09000001,-89,-74,-60,-79,-68,NA
14/07/2020,City of London,E09000001,-89,-73,-65,-80,-72,NA
15/07/2020,City of London,E09000001,-88,-73,-64,-79,-69,NA
16/07/2020,City of London,E09000001,-88,-73,-67,-80,-69,NA
17/07/2020,City of London,E09000001,-88,-69,-58,-77,-68,NA
18/07/2020,City of London,E09000001,-80,-49,-44,-62,NA,NA
19/07/2020,City of London,E09000001,-81,-53,-54,-65,NA,NA
20/07/2020,City of London,E09000001,-87,-72,-59,-79,-68,NA
21/07/2020,City of London,E09000001,-87,-71,-60,-78,-68,NA
22/07/2020,City of London,E09000001,-87,-70,-57,-78,-67,NA
23/07/2020,City of London,E09000001,-88,-71,-61,-79,-67,NA
24/07/2020,City of London,E09000001,-87,-69,-55,-76,-68,NA
25/07/2020,City of London,E09000001,-79,-53,-58,-61,NA,NA
26/07/2020,City of London,E09000001,-76,-49,-43,-59,NA,NA
27/07/2020,City of London,E09000001,-87,-74,-67,-78,-69,NA
28/07/2020,City of London,E09000001,-87,-71,-61,-78,-70,NA
29/07/2020,City of London,E09000001,-86,-70,-55,-77,-69,NA
30/07/2020,City of London,E09000001,-85,-71,-60,-77,-68,NA
31/07/2020,City of London,E09000001,-85,-70,-58,-75,-70,NA
01/08/2020,City of London,E09000001,-75,-49,-49,-58,NA,NA
02/08/2020,City of London,E09000001,-75,-45,-45,-57,NA,NA
03/08/2020,City of London,E09000001,-83,-72,-67,-77,-68,NA
04/08/2020,City of London,E09000001,-83,-71,-59,-77,-71,NA
05/08/2020,City of London,E09000001,-81,-70,-57,-76,-67,NA
06/08/2020,City of London,E09000001,-83,-70,-59,-77,-69,NA
07/08/2020,City of London,E09000001,-83,-68,-58,-75,-68,NA
08/08/2020,City of London,E09000001,-74,-49,-50,-62,NA,NA
09/08/2020,City of London,E09000001,-73,-47,-48,-61,NA,NA
10/08/2020,City of London,E09000001,-80,-71,-58,-75,-70,NA
11/08/2020,City of London,E09000001,-80,-69,-57,-76,-70,NA
12/08/2020,City of London,E09000001,-80,-68,-56,-76,-70,NA
13/08/2020,City of London,E09000001,-83,-69,-64,-77,-71,NA
14/08/2020,City of London,E09000001,-83,-70,-62,-75,-67,NA
15/08/2020,City of London,E09000001,-71,-50,-48,-57,NA,NA
16/08/2020,City of London,E09000001,-70,-47,-44,-58,NA,NA
17/08/2020,City of London,E09000001,-79,-70,-58,-75,NA,NA
18/08/2020,City of London,E09000001,-78,-69,-56,-76,NA,NA
19/08/2020,City of London,E09000001,-80,-71,-64,-75,NA,NA
20/08/2020,City of London,E09000001,-81,-68,-55,-75,NA,NA
21/08/2020,City of London,E09000001,-82,-67,-62,-74,NA,NA
22/08/2020,City of London,E09000001,-69,NA,NA,-53,NA,NA
23/08/2020,City of London,E09000001,-68,NA,NA,-54,NA,NA
24/08/2020,City of London,E09000001,-77,-69,-62,-74,NA,NA
25/08/2020,City of London,E09000001,-78,-69,-67,-75,NA,NA
26/08/2020,City of London,E09000001,-76,-66,-60,-73,NA,NA
27/08/2020,City of London,E09000001,-81,-69,-73,-75,NA,NA
28/08/2020,City of London,E09000001,-80,-66,-70,-72,NA,NA
29/08/2020,City of London,E09000001,-66,NA,NA,-51,NA,NA
30/08/2020,City of London,E09000001,-60,NA,NA,-51,NA,NA
31/08/2020,City of London,E09000001,-85,-77,-65,-81,NA,NA
01/09/2020,City of London,E09000001,-79,-67,-64,-73,NA,NA
02/09/2020,City of London,E09000001,-79,-66,-64,-73,NA,NA
03/09/2020,City of London,E09000001,-79,-67,-69,-74,NA,NA
04/09/2020,City of London,E09000001,-78,-65,-65,-71,NA,NA
05/09/2020,City of London,E09000001,-62,NA,NA,-54,NA,NA
06/09/2020,City of London,E09000001,-60,NA,NA,-54,NA,NA
07/09/2020,City of London,E09000001,-76,-68,-72,-72,NA,NA
08/09/2020,City of London,E09000001,-75,-64,-65,-72,NA,NA
09/09/2020,City of London,E09000001,-76,-64,-62,-71,NA,NA
10/09/2020,City of London,E09000001,-75,-63,-64,-71,NA,NA
11/09/2020,City of London,E09000001,-76,-63,-68,-68,-65,NA
12/09/2020,City of London,E09000001,-61,-44,-63,-56,NA,NA
13/09/2020,City of London,E09000001,-62,-40,-60,-58,NA,NA
14/09/2020,City of London,E09000001,-75,-65,-65,-71,-64,NA
15/09/2020,City of London,E09000001,-74,-62,-66,-69,-65,NA
16/09/2020,City of London,E09000001,-74,-63,-62,-70,-65,NA
17/09/2020,City of London,E09000001,-74,-63,-64,-71,-67,NA
18/09/2020,City of London,E09000001,-75,-63,-68,-68,-61,NA
19/09/2020,City of London,E09000001,-58,-39,-59,-54,NA,NA
20/09/2020,City of London,E09000001,-60,-40,-57,-55,NA,NA
21/09/2020,City of London,E09000001,-73,-66,-67,-71,-64,NA
22/09/2020,City of London,E09000001,-72,-62,-66,-70,-63,NA
23/09/2020,City of London,E09000001,-76,-67,-74,-72,-65,NA
24/09/2020,City of London,E09000001,-77,-66,-77,-73,-64,NA
25/09/2020,City of London,E09000001,-77,-65,-77,-69,-61,NA
26/09/2020,City of London,E09000001,-58,-43,-67,-54,NA,NA
27/09/2020,City of London,E09000001,-61,-43,-69,-56,NA,NA
28/09/2020,City of London,E09000001,-75,-67,-73,-73,-66,NA
29/09/2020,City of London,E09000001,-76,-66,-74,-72,-61,NA
30/09/2020,City of London,E09000001,-76,-67,-77,-72,-63,NA
01/10/2020,City of London,E09000001,-76,-64,-76,-73,-59,NA
02/10/2020,City of London,E09000001,-80,-68,-80,-70,-62,NA
03/10/2020,City of London,E09000001,-63,-40,-73,-55,NA,NA
04/10/2020,City of London,E09000001,-65,-53,-78,-60,NA,NA
05/10/2020,City of London,E09000001,-77,-66,-77,-73,-59,NA
06/10/2020,City of London,E09000001,-77,-64,-78,-72,-62,NA
07/10/2020,City of London,E09000001,-76,-63,-74,-73,-59,NA
08/10/2020,City of London,E09000001,-77,-63,-77,-74,-61,NA
09/10/2020,City of London,E09000001,-77,-64,-76,-70,-58,NA
10/10/2020,City of London,E09000001,-57,-33,-64,-54,NA,NA
11/10/2020,City of London,E09000001,-56,-32,-66,-54,NA,NA
12/10/2020,City of London,E09000001,-77,-68,-78,-73,-60,NA
13/10/2020,City of London,E09000001,-77,-67,-80,-73,-62,NA
14/10/2020,City of London,E09000001,-76,-64,-77,-73,-61,NA
15/10/2020,City of London,E09000001,-76,-63,-77,-73,-61,NA
16/10/2020,City of London,E09000001,-76,-61,-74,-69,-58,NA
17/10/2020,City of London,E09000001,-66,-39,-67,-59,NA,NA
18/10/2020,City of London,E09000001,-64,-41,-67,-62,NA,NA
19/10/2020,City of London,E09000001,-78,-66,-77,-75,-60,NA
20/10/2020,City of London,E09000001,-79,-64,-76,-75,-63,NA
21/10/2020,City of London,E09000001,-81,-66,-81,-75,-61,NA
22/10/2020,City of London,E09000001,-78,-63,-76,-75,-61,NA
23/10/2020,City of London,E09000001,-78,-62,-74,-72,-57,NA
24/10/2020,City of London,E09000001,-64,-39,-76,-56,NA,NA
25/10/2020,City of London,E09000001,-60,-37,-74,-60,NA,NA
26/10/2020,City of London,E09000001,-77,-66,-73,-75,-62,NA
27/10/2020,City of London,E09000001,-79,-64,-79,-75,-61,NA
28/10/2020,City of London,E09000001,-78,-63,-75,-74,-63,NA
29/10/2020,City of London,E09000001,-80,-64,-79,-75,-61,NA
30/10/2020,City of London,E09000001,-78,-61,-74,-70,-60,NA
31/10/2020,City of London,E09000001,-63,-37,-71,-58,NA,NA
01/11/2020,City of London,E09000001,-58,-39,-67,-62,NA,NA
02/11/2020,City of London,E09000001,-75,-64,-82,-74,-59,NA
03/11/2020,City of London,E09000001,-73,-60,-76,-72,-59,NA
04/11/2020,City of London,E09000001,-70,-57,-73,-70,-58,NA
05/11/2020,City of London,E09000001,-91,-74,-88,-81,-66,NA
06/11/2020,City of London,E09000001,-91,-74,-88,-80,-66,NA
07/11/2020,City of London,E09000001,-88,-62,-83,-78,NA,NA
08/11/2020,City of London,E09000001,-86,-69,-84,-77,NA,NA
09/11/2020,City of London,E09000001,-89,-75,-87,-80,-66,NA
10/11/2020,City of London,E09000001,-90,-73,-84,-80,-67,NA
11/11/2020,City of London,E09000001,-91,-72,-86,-81,-66,NA
12/11/2020,City of London,E09000001,-92,-73,-85,-80,-68,NA
13/11/2020,City of London,E09000001,-92,-71,-85,-79,-65,NA
14/11/2020,City of London,E09000001,-91,-63,-88,-78,NA,NA
15/11/2020,City of London,E09000001,-87,-65,-84,-78,NA,NA
16/11/2020,City of London,E09000001,-90,-74,-85,-80,-65,NA
17/11/2020,City of London,E09000001,-91,-72,-86,-80,-69,NA
18/11/2020,City of London,E09000001,-91,-72,-84,-80,-65,NA
19/11/2020,City of London,E09000001,-92,-74,-88,-81,-66,NA
20/11/2020,City of London,E09000001,-92,-72,-89,-79,-64,NA
21/11/2020,City of London,E09000001,-88,-56,-78,-71,NA,NA
22/11/2020,City of London,E09000001,-85,-62,-74,-73,NA,NA
23/11/2020,City of London,E09000001,-89,-74,-85,-80,-65,NA
24/11/2020,City of London,E09000001,-90,-73,-86,-80,-67,NA
25/11/2020,City of London,E09000001,-90,-75,-84,-79,-67,NA
26/11/2020,City of London,E09000001,-91,-75,-87,-80,-68,NA
27/11/2020,City of London,E09000001,-91,-74,-87,-79,-67,NA
28/11/2020,City of London,E09000001,-87,-58,-78,-71,NA,NA
29/11/2020,City of London,E09000001,-85,-66,-79,-72,NA,NA
30/11/2020,City of London,E09000001,-89,-75,-87,-80,-64,NA
01/12/2020,City of London,E09000001,-89,-72,-84,-79,-66,NA
02/12/2020,City of London,E09000001,-85,-64,-83,-76,-61,NA
03/12/2020,City of London,E09000001,-85,-65,-84,-76,-62,NA
04/12/2020,City of London,E09000001,-83,-60,-76,-72,-54,NA
05/12/2020,City of London,E09000001,-70,-25,-59,-57,NA,NA
06/12/2020,City of London,E09000001,-71,-36,-62,-57,NA,NA
07/12/2020,City of London,E09000001,-82,-64,-79,-75,-61,NA
08/12/2020,City of London,E09000001,-82,-63,-79,-75,-62,NA
09/12/2020,City of London,E09000001,-82,-62,-77,-74,-60,NA
10/12/2020,City of London,E09000001,-83,-59,-77,-74,-61,NA
11/12/2020,City of London,E09000001,-83,-57,-72,-71,-60,NA
12/12/2020,City of London,E09000001,-70,-17,-62,-55,NA,NA
13/12/2020,City of London,E09000001,-71,-38,-68,-63,NA,NA
14/12/2020,City of London,E09000001,-82,-63,-77,-75,-65,NA
15/12/2020,City of London,E09000001,-79,-56,-73,-73,-64,NA
16/12/2020,City of London,E09000001,-88,-65,-84,-78,-64,NA
17/12/2020,City of London,E09000001,-90,-63,-83,-79,-65,NA
18/12/2020,City of London,E09000001,-90,-62,-84,-77,-64,NA
19/12/2020,City of London,E09000001,-87,-38,-83,-71,NA,NA
20/12/2020,City of London,E09000001,-88,-65,-86,-77,NA,NA
21/12/2020,City of London,E09000001,-91,-72,-89,-85,-74,NA
22/12/2020,City of London,E09000001,-93,-71,-90,-86,-77,NA
23/12/2020,City of London,E09000001,-93,-72,-91,-88,-74,NA
24/12/2020,City of London,E09000001,-96,-77,-93,-91,-77,NA
25/12/2020,City of London,E09000001,-99,-97,-95,-99,-83,NA
26/12/2020,City of London,E09000001,-96,-85,-91,-92,NA,NA
27/12/2020,City of London,E09000001,-90,-75,-85,-82,NA,NA
28/12/2020,City of London,E09000001,-97,-89,-93,-93,-82,NA
29/12/2020,City of London,E09000001,-95,-83,-92,-89,-79,NA
30/12/2020,City of London,E09000001,-95,-81,-91,-90,-73,NA
31/12/2020,City of London,E09000001,-96,-82,-94,-91,-79,NA
01/01/2021,City of London,E09000001,-98,-95,-95,-95,-83,NA
02/01/2021,City of London,E09000001,-93,-73,-88,-85,NA,NA
03/01/2021,City of London,E09000001,-90,-74,-87,-82,NA,NA
04/01/2021,City of London,E09000001,-92,-77,-90,-85,-74,NA
05/01/2021,City of London,E09000001,-93,-81,-91,-86,-73,NA
06/01/2021,City of London,E09000001,-94,-80,-89,-87,-75,NA
07/01/2021,City of London,E09000001,-94,-81,-91,-87,-73,NA
08/01/2021,City of London,E09000001,-95,-80,-92,-86,-73,NA
15/02/2020,Westminster,E09000033,-11,-14,-27,-3,-1,3
16/02/2020,Westminster,E09000033,-10,-14,-38,-8,-4,2
17/02/2020,Westminster,E09000033,14,9,37,5,-8,2
18/02/2020,Westminster,E09000033,7,1,20,2,-6,2
19/02/2020,Westminster,E09000033,5,0,10,1,-6,2
20/02/2020,Westminster,E09000033,3,-4,2,-1,-7,2
21/02/2020,Westminster,E09000033,1,4,16,3,-8,2
22/02/2020,Westminster,E09000033,-3,-3,3,8,2,0
23/02/2020,Westminster,E09000033,-8,-4,-20,-2,-3,1
24/02/2020,Westminster,E09000033,-2,-1,1,1,-1,2
25/02/2020,Westminster,E09000033,0,4,11,5,1,1
26/02/2020,Westminster,E09000033,0,2,15,-1,2,0
27/02/2020,Westminster,E09000033,-2,2,5,1,1,0
28/02/2020,Westminster,E09000033,-6,2,-8,0,1,2
29/02/2020,Westminster,E09000033,-4,-3,-14,-4,6,2
01/03/2020,Westminster,E09000033,-3,1,-4,-4,4,0
02/03/2020,Westminster,E09000033,-4,6,8,-5,0,2
03/03/2020,Westminster,E09000033,-7,2,2,-7,3,1
04/03/2020,Westminster,E09000033,-9,-1,-13,-8,2,2
05/03/2020,Westminster,E09000033,-15,-10,-26,-7,-1,3
06/03/2020,Westminster,E09000033,-6,4,-4,-6,0,1
07/03/2020,Westminster,E09000033,-8,-6,-19,-8,4,2
08/03/2020,Westminster,E09000033,-9,-7,-28,-7,0,1
09/03/2020,Westminster,E09000033,-8,1,-14,-7,-2,3
10/03/2020,Westminster,E09000033,-12,1,-19,-10,-3,4
11/03/2020,Westminster,E09000033,-13,0,-17,-16,-5,4
12/03/2020,Westminster,E09000033,-20,-1,-29,-21,-10,6
13/03/2020,Westminster,E09000033,-30,-3,-34,-26,-16,8
14/03/2020,Westminster,E09000033,-36,-15,-37,-31,-5,6
15/03/2020,Westminster,E09000033,-43,-16,-54,-37,-11,6
16/03/2020,Westminster,E09000033,-39,0,-18,-37,-29,12
17/03/2020,Westminster,E09000033,-59,-15,-47,-52,-42,17
18/03/2020,Westminster,E09000033,-67,-19,-56,-60,-50,20
19/03/2020,Westminster,E09000033,-74,-20,-68,-65,-56,22
20/03/2020,Westminster,E09000033,-79,-32,-70,-69,-59,25
21/03/2020,Westminster,E09000033,-90,-47,-74,-79,-46,17
22/03/2020,Westminster,E09000033,-89,-50,-71,-82,-50,16
23/03/2020,Westminster,E09000033,-85,-48,-65,-76,-72,29
24/03/2020,Westminster,E09000033,-92,-58,-73,-84,-78,33
25/03/2020,Westminster,E09000033,-94,-62,-77,-88,-80,34
26/03/2020,Westminster,E09000033,-94,-64,-78,-90,-82,36
27/03/2020,Westminster,E09000033,-95,-65,-82,-90,-81,37
28/03/2020,Westminster,E09000033,-96,-69,-89,-92,-67,NA
29/03/2020,Westminster,E09000033,-96,-69,-90,-92,-69,NA
30/03/2020,Westminster,E09000033,-94,-67,-84,-90,-82,35
31/03/2020,Westminster,E09000033,-94,-66,-81,-91,-83,35
01/04/2020,Westminster,E09000033,-95,-68,-83,-91,-83,36
02/04/2020,Westminster,E09000033,-95,-68,-81,-91,-84,37
03/04/2020,Westminster,E09000033,-95,-66,-81,-91,-82,38
04/04/2020,Westminster,E09000033,-96,-66,-80,-92,-66,NA
05/04/2020,Westminster,E09000033,-95,-63,-76,-92,-66,NA
06/04/2020,Westminster,E09000033,-94,-65,-79,-91,-83,35
07/04/2020,Westminster,E09000033,-95,-64,-74,-91,-83,35
08/04/2020,Westminster,E09000033,-95,-66,-78,-91,-83,35
09/04/2020,Westminster,E09000033,-95,-62,-75,-91,-82,35
10/04/2020,Westminster,E09000033,-96,-68,-76,-94,-87,38
11/04/2020,Westminster,E09000033,-96,-65,-80,-93,-67,NA
12/04/2020,Westminster,E09000033,-97,-72,-79,-93,-67,NA
13/04/2020,Westminster,E09000033,-96,-72,-79,-95,-89,37
14/04/2020,Westminster,E09000033,-95,-64,-76,-91,-82,34
15/04/2020,Westminster,E09000033,-95,-65,-75,-91,-81,35
16/04/2020,Westminster,E09000033,-95,-65,-77,-91,-82,36
17/04/2020,Westminster,E09000033,-96,-66,-85,-91,-81,37
18/04/2020,Westminster,E09000033,-97,-66,-85,-93,-63,NA
19/04/2020,Westminster,E09000033,-95,-62,-69,-92,-62,NA
20/04/2020,Westminster,E09000033,-94,-63,-70,-90,-80,34
21/04/2020,Westminster,E09000033,-94,-63,-70,-90,-81,34
22/04/2020,Westminster,E09000033,-95,-63,-70,-91,-80,34
23/04/2020,Westminster,E09000033,-95,-61,-69,-91,-80,34
24/04/2020,Westminster,E09000033,-95,-62,-74,-90,-80,35
25/04/2020,Westminster,E09000033,-96,-64,-75,-92,-62,22
26/04/2020,Westminster,E09000033,-95,-60,-68,-91,-61,NA
27/04/2020,Westminster,E09000033,-94,-62,-73,-89,-80,33
28/04/2020,Westminster,E09000033,-95,-70,-86,-91,-81,36
29/04/2020,Westminster,E09000033,-95,-64,-80,-90,-81,34
30/04/2020,Westminster,E09000033,-95,-65,-82,-91,-81,36
01/05/2020,Westminster,E09000033,-95,-62,-80,-90,-79,35
02/05/2020,Westminster,E09000033,-96,-61,-73,-91,-60,21
03/05/2020,Westminster,E09000033,-95,-62,-76,-91,-60,NA
04/05/2020,Westminster,E09000033,-93,-60,-67,-89,-79,33
05/05/2020,Westminster,E09000033,-94,-60,-68,-89,-80,33
